date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-01-01T00:00:00,TPCP,GHCND:BA000041150,551,0,0,Bahrain,TPCP
2010-02-01T00:00:00,TPCP,GHCND:BA000041150,10,0,0,Bahrain,TPCP
2010-03-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2010-04-01T00:00:00,TPCP,GHCND:BA000041150,15,0,0,Bahrain,TPCP
2010-05-01T00:00:00,TPCP,GHCND:BA000041150,23,0,0,Bahrain,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BA000041150,500,0,0,Bahrain,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BA000041150,91,0,0,Bahrain,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BA000041150,495,0,0,Bahrain,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BA000041150,56,0,0,Bahrain,TPCP
2011-11-01T00:00:00,TPCP,GHCND:BA000041150,92,0,0,Bahrain,TPCP
2012-03-01T00:00:00,TPCP,GHCND:BA000041150,36,0,0,Bahrain,TPCP
2012-11-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2012-12-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2013-02-01T00:00:00,TPCP,GHCND:BA000041150,51,0,0,Bahrain,TPCP
2013-03-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2013-04-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2013-05-01T00:00:00,TPCP,GHCND:BA000041150,20,0,0,Bahrain,TPCP
2013-08-01T00:00:00,TPCP,GHCND:BA000041150,500,0,0,Bahrain,TPCP
2013-11-01T00:00:00,TPCP,GHCND:BA000041150,610,0,0,Bahrain,TPCP
2013-12-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2014-01-01T00:00:00,TPCP,GHCND:BA000041150,249,0,0,Bahrain,TPCP
2014-02-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2014-03-01T00:00:00,TPCP,GHCND:BA000041150,30,0,0,Bahrain,TPCP
2014-05-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2014-11-01T00:00:00,TPCP,GHCND:BA000041150,5,0,0,Bahrain,TPCP
2015-03-01T00:00:00,TPCP,GHCND:BA000041150,56,0,0,Bahrain,TPCP
2015-11-01T00:00:00,TPCP,GHCND:BA000041150,218,0,0,Bahrain,TPCP
2010-01-01T00:00:00,TPCP,GHCND:BA000041150,551,0,0,Bahrain,TPCP
2010-02-01T00:00:00,TPCP,GHCND:BA000041150,10,0,0,Bahrain,TPCP
2010-03-01T00:00:00,TPCP,GHCND:BA000041150,0,0,0,Bahrain,TPCP
2010-04-01T00:00:00,TPCP,GHCND:BA000041150,15,0,0,Bahrain,TPCP
2010-05-01T00:00:00,TPCP,GHCND:BA000041150,23,0,0,Bahrain,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BA000041150,500,0,0,Bahrain,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BA000041150,91,0,0,Bahrain,TPCP
