date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-01-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-07-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-08-01T00:00:00,TPCP,GHCND:CVM00008589,40,0,0,"Cape Verde",TPCP
2010-08-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-09-01T00:00:00,TPCP,GHCND:CVM00008589,472,0,0,"Cape Verde",TPCP
2010-09-01T00:00:00,TPCP,GHCND:CVM00008594,1391,0,0,"Cape Verde",TPCP
2010-10-01T00:00:00,TPCP,GHCND:CVM00008589,79,0,0,"Cape Verde",TPCP
2010-10-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-11-01T00:00:00,TPCP,GHCND:CVM00008594,30,0,0,"Cape Verde",TPCP
2010-12-01T00:00:00,TPCP,GHCND:CVM00008589,20,0,0,"Cape Verde",TPCP
2011-01-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2011-02-01T00:00:00,TPCP,GHCND:CVM00008594,991,0,0,"Cape Verde",TPCP
2011-07-01T00:00:00,TPCP,GHCND:CVM00008589,5,0,0,"Cape Verde",TPCP
2011-08-01T00:00:00,TPCP,GHCND:CVM00008589,51,0,0,"Cape Verde",TPCP
2011-08-01T00:00:00,TPCP,GHCND:CVM00008594,150,0,0,"Cape Verde",TPCP
2011-09-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2011-10-01T00:00:00,TPCP,GHCND:CVM00008589,150,0,0,"Cape Verde",TPCP
2011-10-01T00:00:00,TPCP,GHCND:CVM00008594,231,0,0,"Cape Verde",TPCP
2011-12-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2012-01-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2012-02-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2012-03-01T00:00:00,TPCP,GHCND:CVM00008594,8,0,0,"Cape Verde",TPCP
2012-04-01T00:00:00,TPCP,GHCND:CVM00008594,64,0,0,"Cape Verde",TPCP
2012-07-01T00:00:00,TPCP,GHCND:CVM00008589,41,0,0,"Cape Verde",TPCP
2012-08-01T00:00:00,TPCP,GHCND:CVM00008589,216,0,0,"Cape Verde",TPCP
2012-08-01T00:00:00,TPCP,GHCND:CVM00008594,56,0,0,"Cape Verde",TPCP
2012-09-01T00:00:00,TPCP,GHCND:CVM00008589,562,0,0,"Cape Verde",TPCP
2012-09-01T00:00:00,TPCP,GHCND:CVM00008594,3350,0,0,"Cape Verde",TPCP
2013-02-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2013-03-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2013-08-01T00:00:00,TPCP,GHCND:CVM00008589,153,0,0,"Cape Verde",TPCP
2013-08-01T00:00:00,TPCP,GHCND:CVM00008594,3,0,0,"Cape Verde",TPCP
2013-09-01T00:00:00,TPCP,GHCND:CVM00008589,1189,0,0,"Cape Verde",TPCP
2013-09-01T00:00:00,TPCP,GHCND:CVM00008594,524,0,0,"Cape Verde",TPCP
2013-11-01T00:00:00,TPCP,GHCND:CVM00008589,20,0,0,"Cape Verde",TPCP
2013-11-01T00:00:00,TPCP,GHCND:CVM00008594,13,0,0,"Cape Verde",TPCP
2013-12-01T00:00:00,TPCP,GHCND:CVM00008589,119,0,0,"Cape Verde",TPCP
2013-12-01T00:00:00,TPCP,GHCND:CVM00008594,109,0,0,"Cape Verde",TPCP
2014-03-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2014-05-01T00:00:00,TPCP,GHCND:CVM00008594,3,0,0,"Cape Verde",TPCP
2014-08-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2014-09-01T00:00:00,TPCP,GHCND:CVM00008589,1191,0,0,"Cape Verde",TPCP
2014-09-01T00:00:00,TPCP,GHCND:CVM00008594,960,0,0,"Cape Verde",TPCP
2014-11-01T00:00:00,TPCP,GHCND:CVM00008594,13,0,0,"Cape Verde",TPCP
2014-12-01T00:00:00,TPCP,GHCND:CVM00008594,5,0,0,"Cape Verde",TPCP
2015-02-01T00:00:00,TPCP,GHCND:CVM00008589,41,0,0,"Cape Verde",TPCP
2015-02-01T00:00:00,TPCP,GHCND:CVM00008594,62,0,0,"Cape Verde",TPCP
2015-06-01T00:00:00,TPCP,GHCND:CVM00008594,10,0,0,"Cape Verde",TPCP
2015-08-01T00:00:00,TPCP,GHCND:CVM00008589,300,0,0,"Cape Verde",TPCP
2015-08-01T00:00:00,TPCP,GHCND:CVM00008594,20,0,0,"Cape Verde",TPCP
2015-09-01T00:00:00,TPCP,GHCND:CVM00008589,249,0,0,"Cape Verde",TPCP
2015-10-01T00:00:00,TPCP,GHCND:CVM00008589,20,0,0,"Cape Verde",TPCP
2015-10-01T00:00:00,TPCP,GHCND:CVM00008594,551,0,0,"Cape Verde",TPCP
2015-11-01T00:00:00,TPCP,GHCND:CVM00008589,201,0,0,"Cape Verde",TPCP
2015-11-01T00:00:00,TPCP,GHCND:CVM00008594,41,0,0,"Cape Verde",TPCP
2010-01-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-07-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-08-01T00:00:00,TPCP,GHCND:CVM00008589,40,0,0,"Cape Verde",TPCP
2010-08-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-09-01T00:00:00,TPCP,GHCND:CVM00008589,472,0,0,"Cape Verde",TPCP
2010-09-01T00:00:00,TPCP,GHCND:CVM00008594,1391,0,0,"Cape Verde",TPCP
2010-10-01T00:00:00,TPCP,GHCND:CVM00008589,79,0,0,"Cape Verde",TPCP
2010-10-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-11-01T00:00:00,TPCP,GHCND:CVM00008594,30,0,0,"Cape Verde",TPCP
2010-12-01T00:00:00,TPCP,GHCND:CVM00008589,20,0,0,"Cape Verde",TPCP
2011-01-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2011-02-01T00:00:00,TPCP,GHCND:CVM00008594,991,0,0,"Cape Verde",TPCP
2011-07-01T00:00:00,TPCP,GHCND:CVM00008589,5,0,0,"Cape Verde",TPCP
2011-08-01T00:00:00,TPCP,GHCND:CVM00008589,51,0,0,"Cape Verde",TPCP
2011-08-01T00:00:00,TPCP,GHCND:CVM00008594,150,0,0,"Cape Verde",TPCP
2011-09-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2011-10-01T00:00:00,TPCP,GHCND:CVM00008589,150,0,0,"Cape Verde",TPCP
2011-10-01T00:00:00,TPCP,GHCND:CVM00008594,231,0,0,"Cape Verde",TPCP
2011-12-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2012-01-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2012-02-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2012-03-01T00:00:00,TPCP,GHCND:CVM00008594,8,0,0,"Cape Verde",TPCP
2012-04-01T00:00:00,TPCP,GHCND:CVM00008594,64,0,0,"Cape Verde",TPCP
2012-07-01T00:00:00,TPCP,GHCND:CVM00008589,41,0,0,"Cape Verde",TPCP
2012-08-01T00:00:00,TPCP,GHCND:CVM00008589,216,0,0,"Cape Verde",TPCP
2012-08-01T00:00:00,TPCP,GHCND:CVM00008594,56,0,0,"Cape Verde",TPCP
2012-09-01T00:00:00,TPCP,GHCND:CVM00008589,562,0,0,"Cape Verde",TPCP
2012-09-01T00:00:00,TPCP,GHCND:CVM00008594,3350,0,0,"Cape Verde",TPCP
2013-02-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2013-03-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2013-08-01T00:00:00,TPCP,GHCND:CVM00008589,153,0,0,"Cape Verde",TPCP
2013-08-01T00:00:00,TPCP,GHCND:CVM00008594,3,0,0,"Cape Verde",TPCP
2013-09-01T00:00:00,TPCP,GHCND:CVM00008589,1189,0,0,"Cape Verde",TPCP
2013-09-01T00:00:00,TPCP,GHCND:CVM00008594,524,0,0,"Cape Verde",TPCP
2013-11-01T00:00:00,TPCP,GHCND:CVM00008589,20,0,0,"Cape Verde",TPCP
2013-11-01T00:00:00,TPCP,GHCND:CVM00008594,13,0,0,"Cape Verde",TPCP
2013-12-01T00:00:00,TPCP,GHCND:CVM00008589,119,0,0,"Cape Verde",TPCP
2013-12-01T00:00:00,TPCP,GHCND:CVM00008594,109,0,0,"Cape Verde",TPCP
2014-03-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2014-05-01T00:00:00,TPCP,GHCND:CVM00008594,3,0,0,"Cape Verde",TPCP
2014-08-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2014-09-01T00:00:00,TPCP,GHCND:CVM00008589,1191,0,0,"Cape Verde",TPCP
2014-09-01T00:00:00,TPCP,GHCND:CVM00008594,960,0,0,"Cape Verde",TPCP
2014-11-01T00:00:00,TPCP,GHCND:CVM00008594,13,0,0,"Cape Verde",TPCP
2014-12-01T00:00:00,TPCP,GHCND:CVM00008594,5,0,0,"Cape Verde",TPCP
2015-02-01T00:00:00,TPCP,GHCND:CVM00008589,41,0,0,"Cape Verde",TPCP
2015-02-01T00:00:00,TPCP,GHCND:CVM00008594,62,0,0,"Cape Verde",TPCP
2015-06-01T00:00:00,TPCP,GHCND:CVM00008594,10,0,0,"Cape Verde",TPCP
2015-08-01T00:00:00,TPCP,GHCND:CVM00008589,300,0,0,"Cape Verde",TPCP
2015-08-01T00:00:00,TPCP,GHCND:CVM00008594,20,0,0,"Cape Verde",TPCP
2015-09-01T00:00:00,TPCP,GHCND:CVM00008589,249,0,0,"Cape Verde",TPCP
2015-10-01T00:00:00,TPCP,GHCND:CVM00008589,20,0,0,"Cape Verde",TPCP
2015-10-01T00:00:00,TPCP,GHCND:CVM00008594,551,0,0,"Cape Verde",TPCP
2015-11-01T00:00:00,TPCP,GHCND:CVM00008589,201,0,0,"Cape Verde",TPCP
2015-11-01T00:00:00,TPCP,GHCND:CVM00008594,41,0,0,"Cape Verde",TPCP
2010-01-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-07-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-08-01T00:00:00,TPCP,GHCND:CVM00008589,40,0,0,"Cape Verde",TPCP
2010-08-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-09-01T00:00:00,TPCP,GHCND:CVM00008589,472,0,0,"Cape Verde",TPCP
2010-09-01T00:00:00,TPCP,GHCND:CVM00008594,1391,0,0,"Cape Verde",TPCP
2010-10-01T00:00:00,TPCP,GHCND:CVM00008589,79,0,0,"Cape Verde",TPCP
2010-10-01T00:00:00,TPCP,GHCND:CVM00008594,0,0,0,"Cape Verde",TPCP
2010-11-01T00:00:00,TPCP,GHCND:CVM00008594,30,0,0,"Cape Verde",TPCP
2010-12-01T00:00:00,TPCP,GHCND:CVM00008589,20,0,0,"Cape Verde",TPCP
