date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-01-01T00:00:00,TPCP,GHCND:CJW00011813,86,0,0,"Cayman Is.",TPCP
2010-02-01T00:00:00,TPCP,GHCND:CJW00011813,341,0,0,"Cayman Is.",TPCP
2010-03-01T00:00:00,TPCP,GHCND:CJW00011813,59,0,0,"Cayman Is.",TPCP
2010-04-01T00:00:00,TPCP,GHCND:CJW00011813,498,0,0,"Cayman Is.",TPCP
2010-05-01T00:00:00,TPCP,GHCND:CJW00011813,647,0,0,"Cayman Is.",TPCP
2010-06-01T00:00:00,TPCP,GHCND:CJW00011813,1149,0,0,"Cayman Is.",TPCP
2010-07-01T00:00:00,TPCP,GHCND:CJW00011813,1384,0,0,"Cayman Is.",TPCP
2010-08-01T00:00:00,TPCP,GHCND:CJW00011813,1057,0,0,"Cayman Is.",TPCP
2010-09-01T00:00:00,TPCP,GHCND:CJW00011813,2351,0,0,"Cayman Is.",TPCP
2010-10-01T00:00:00,TPCP,GHCND:CJW00011813,1549,0,0,"Cayman Is.",TPCP
2010-11-01T00:00:00,TPCP,GHCND:CJW00011813,244,0,0,"Cayman Is.",TPCP
2010-12-01T00:00:00,TPCP,GHCND:CJW00011813,375,0,0,"Cayman Is.",TPCP
2011-01-01T00:00:00,TPCP,GHCND:CJW00011813,11,0,0,"Cayman Is.",TPCP
2011-02-01T00:00:00,TPCP,GHCND:CJW00011813,56,0,0,"Cayman Is.",TPCP
2011-03-01T00:00:00,TPCP,GHCND:CJW00011813,287,0,0,"Cayman Is.",TPCP
2011-04-01T00:00:00,TPCP,GHCND:CJW00011813,11,0,0,"Cayman Is.",TPCP
2011-05-01T00:00:00,TPCP,GHCND:CJW00011813,92,0,0,"Cayman Is.",TPCP
2011-06-01T00:00:00,TPCP,GHCND:CJW00011813,602,0,0,"Cayman Is.",TPCP
2011-07-01T00:00:00,TPCP,GHCND:CJW00011813,1173,0,0,"Cayman Is.",TPCP
2011-08-01T00:00:00,TPCP,GHCND:CJW00011813,490,0,0,"Cayman Is.",TPCP
2011-09-01T00:00:00,TPCP,GHCND:CJW00011813,1381,0,0,"Cayman Is.",TPCP
2011-10-01T00:00:00,TPCP,GHCND:CJW00011813,2318,0,0,"Cayman Is.",TPCP
2011-11-01T00:00:00,TPCP,GHCND:CJW00011813,161,0,0,"Cayman Is.",TPCP
