date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-10-01T00:00:00,TPCP,GHCND:CGM00064210,109,0,0,"Congo, DRC",TPCP
2010-11-01T00:00:00,TPCP,GHCND:CGM00064210,1847,0,0,"Congo, DRC",TPCP
2010-12-01T00:00:00,TPCP,GHCND:CGM00064210,30,0,0,"Congo, DRC",TPCP
2011-01-01T00:00:00,TPCP,GHCND:CGM00064210,1750,0,0,"Congo, DRC",TPCP
2011-02-01T00:00:00,TPCP,GHCND:CGM00064210,69,0,0,"Congo, DRC",TPCP
2011-03-01T00:00:00,TPCP,GHCND:CGM00064005,20,0,0,"Congo, DRC",TPCP
2011-03-01T00:00:00,TPCP,GHCND:CGM00064210,160,0,0,"Congo, DRC",TPCP
2011-04-01T00:00:00,TPCP,GHCND:CGM00064108,1715,0,0,"Congo, DRC",TPCP
2011-04-01T00:00:00,TPCP,GHCND:CGM00064206,191,0,0,"Congo, DRC",TPCP
2011-04-01T00:00:00,TPCP,GHCND:CGM00064210,2049,0,0,"Congo, DRC",TPCP
2011-05-01T00:00:00,TPCP,GHCND:CGM00064210,598,0,0,"Congo, DRC",TPCP
2011-06-01T00:00:00,TPCP,GHCND:CGM00064210,0,0,0,"Congo, DRC",TPCP
2011-09-01T00:00:00,TPCP,GHCND:CGM00064210,51,0,0,"Congo, DRC",TPCP
2011-10-01T00:00:00,TPCP,GHCND:CFM00064463,61,0,0,"Congo, DRC",TPCP
2011-10-01T00:00:00,TPCP,GHCND:CGM00064210,421,0,0,"Congo, DRC",TPCP
2011-11-01T00:00:00,TPCP,GHCND:CGM00064210,701,0,0,"Congo, DRC",TPCP
2011-12-01T00:00:00,TPCP,GHCND:CFM00064463,71,0,0,"Congo, DRC",TPCP
2011-12-01T00:00:00,TPCP,GHCND:CGM00064210,170,0,0,"Congo, DRC",TPCP
2011-12-01T00:00:00,TPCP,GHCND:CGM00064360,109,0,0,"Congo, DRC",TPCP
2012-01-01T00:00:00,TPCP,GHCND:CGM00064210,381,0,0,"Congo, DRC",TPCP
2012-02-01T00:00:00,TPCP,GHCND:CGM00064210,81,0,0,"Congo, DRC",TPCP
2012-02-01T00:00:00,TPCP,GHCND:CGM00064360,0,0,0,"Congo, DRC",TPCP
2012-03-01T00:00:00,TPCP,GHCND:CGM00064210,0,0,0,"Congo, DRC",TPCP
2012-03-01T00:00:00,TPCP,GHCND:CGM00064360,0,0,0,"Congo, DRC",TPCP
2012-04-01T00:00:00,TPCP,GHCND:CGM00064210,242,0,0,"Congo, DRC",TPCP
2012-05-01T00:00:00,TPCP,GHCND:CFM00064463,300,0,0,"Congo, DRC",TPCP
2012-05-01T00:00:00,TPCP,GHCND:CGM00064210,30,0,0,"Congo, DRC",TPCP
2012-08-01T00:00:00,TPCP,GHCND:CFM00064463,149,0,0,"Congo, DRC",TPCP
2012-08-01T00:00:00,TPCP,GHCND:CGM00064210,91,0,0,"Congo, DRC",TPCP
2012-09-01T00:00:00,TPCP,GHCND:CFM00064463,231,0,0,"Congo, DRC",TPCP
2012-09-01T00:00:00,TPCP,GHCND:CGM00064210,150,0,0,"Congo, DRC",TPCP
2012-09-01T00:00:00,TPCP,GHCND:CGM00064247,419,0,0,"Congo, DRC",TPCP
2012-10-01T00:00:00,TPCP,GHCND:CFM00064463,239,0,0,"Congo, DRC",TPCP
2012-10-01T00:00:00,TPCP,GHCND:CGM00064206,3,0,0,"Congo, DRC",TPCP
2012-10-01T00:00:00,TPCP,GHCND:CGM00064210,617,0,0,"Congo, DRC",TPCP
2012-10-01T00:00:00,TPCP,GHCND:CGM00064222,361,0,0,"Congo, DRC",TPCP
2012-10-01T00:00:00,TPCP,GHCND:CGM00064247,678,0,0,"Congo, DRC",TPCP
2012-10-01T00:00:00,TPCP,GHCND:CGM00064360,0,0,0,"Congo, DRC",TPCP
2012-11-01T00:00:00,TPCP,GHCND:CFM00064463,330,0,0,"Congo, DRC",TPCP
2012-11-01T00:00:00,TPCP,GHCND:CGM00064204,30,0,0,"Congo, DRC",TPCP
2012-11-01T00:00:00,TPCP,GHCND:CGM00064210,269,0,0,"Congo, DRC",TPCP
2012-11-01T00:00:00,TPCP,GHCND:CGM00064222,0,0,0,"Congo, DRC",TPCP
2012-11-01T00:00:00,TPCP,GHCND:CGM00064247,109,0,0,"Congo, DRC",TPCP
