date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-01-01T00:00:00,TPCP,GHCND:DRM00078458,2691,0,0,"Dominican Republic",TPCP
2010-01-01T00:00:00,TPCP,GHCND:DRM00078479,335,0,0,"Dominican Republic",TPCP
2010-01-01T00:00:00,TPCP,GHCND:DRM00078482,318,0,0,"Dominican Republic",TPCP
2010-02-01T00:00:00,TPCP,GHCND:DRM00078458,1535,0,0,"Dominican Republic",TPCP
2010-02-01T00:00:00,TPCP,GHCND:DRM00078479,262,0,0,"Dominican Republic",TPCP
2010-02-01T00:00:00,TPCP,GHCND:DRM00078482,20,0,0,"Dominican Republic",TPCP
2010-03-01T00:00:00,TPCP,GHCND:DRM00078458,838,0,0,"Dominican Republic",TPCP
2010-03-01T00:00:00,TPCP,GHCND:DRM00078479,193,0,0,"Dominican Republic",TPCP
2010-03-01T00:00:00,TPCP,GHCND:DRM00078482,452,0,0,"Dominican Republic",TPCP
2010-04-01T00:00:00,TPCP,GHCND:DRM00078458,1589,0,0,"Dominican Republic",TPCP
2010-04-01T00:00:00,TPCP,GHCND:DRM00078479,986,0,0,"Dominican Republic",TPCP
2010-04-01T00:00:00,TPCP,GHCND:DRM00078482,193,0,0,"Dominican Republic",TPCP
2010-05-01T00:00:00,TPCP,GHCND:DRM00078458,1565,0,0,"Dominican Republic",TPCP
2010-05-01T00:00:00,TPCP,GHCND:DRM00078479,1530,0,0,"Dominican Republic",TPCP
2010-05-01T00:00:00,TPCP,GHCND:DRM00078482,2293,0,0,"Dominican Republic",TPCP
2010-06-01T00:00:00,TPCP,GHCND:DRM00078458,1883,0,0,"Dominican Republic",TPCP
2010-06-01T00:00:00,TPCP,GHCND:DRM00078479,1590,0,0,"Dominican Republic",TPCP
2010-06-01T00:00:00,TPCP,GHCND:DRM00078482,1688,0,0,"Dominican Republic",TPCP
2010-07-01T00:00:00,TPCP,GHCND:DRM00078458,2340,0,0,"Dominican Republic",TPCP
2010-07-01T00:00:00,TPCP,GHCND:DRM00078479,2445,0,0,"Dominican Republic",TPCP
2010-07-01T00:00:00,TPCP,GHCND:DRM00078482,1082,0,0,"Dominican Republic",TPCP
2010-08-01T00:00:00,TPCP,GHCND:DRM00078458,889,0,0,"Dominican Republic",TPCP
2010-08-01T00:00:00,TPCP,GHCND:DRM00078479,743,0,0,"Dominican Republic",TPCP
2010-08-01T00:00:00,TPCP,GHCND:DRM00078482,429,0,0,"Dominican Republic",TPCP
2010-09-01T00:00:00,TPCP,GHCND:DRM00078458,1918,0,0,"Dominican Republic",TPCP
2010-09-01T00:00:00,TPCP,GHCND:DRM00078479,1179,0,0,"Dominican Republic",TPCP
2010-09-01T00:00:00,TPCP,GHCND:DRM00078482,677,0,0,"Dominican Republic",TPCP
2010-10-01T00:00:00,TPCP,GHCND:DRM00078458,1302,0,0,"Dominican Republic",TPCP
2010-10-01T00:00:00,TPCP,GHCND:DRM00078479,1843,0,0,"Dominican Republic",TPCP
2010-10-01T00:00:00,TPCP,GHCND:DRM00078482,207,0,0,"Dominican Republic",TPCP
