date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-07-01T00:00:00,TPCP,GHCND:GAM00061701,2324,0,0,"The Gambia",TPCP
2010-08-01T00:00:00,TPCP,GHCND:GAM00061701,1375,0,0,"The Gambia",TPCP
2010-09-01T00:00:00,TPCP,GHCND:GAM00061701,7671,0,0,"The Gambia",TPCP
2010-10-01T00:00:00,TPCP,GHCND:GAM00061701,415,0,0,"The Gambia",TPCP
2011-06-01T00:00:00,TPCP,GHCND:GAM00061701,379,0,0,"The Gambia",TPCP
2011-07-01T00:00:00,TPCP,GHCND:GAM00061701,648,0,0,"The Gambia",TPCP
2011-08-01T00:00:00,TPCP,GHCND:GAM00061701,3112,0,0,"The Gambia",TPCP
2011-09-01T00:00:00,TPCP,GHCND:GAM00061701,2048,0,0,"The Gambia",TPCP
2011-10-01T00:00:00,TPCP,GHCND:GAM00061701,771,0,0,"The Gambia",TPCP
2012-03-01T00:00:00,TPCP,GHCND:GAM00061701,0,0,0,"The Gambia",TPCP
2012-05-01T00:00:00,TPCP,GHCND:GAM00061701,409,0,0,"The Gambia",TPCP
2012-06-01T00:00:00,TPCP,GHCND:GAM00061701,711,0,0,"The Gambia",TPCP
2012-07-01T00:00:00,TPCP,GHCND:GAM00061701,2760,0,0,"The Gambia",TPCP
2012-08-01T00:00:00,TPCP,GHCND:GAM00061701,4760,0,0,"The Gambia",TPCP
2012-09-01T00:00:00,TPCP,GHCND:GAM00061701,3545,0,0,"The Gambia",TPCP
2012-10-01T00:00:00,TPCP,GHCND:GAM00061701,361,0,0,"The Gambia",TPCP
2012-11-01T00:00:00,TPCP,GHCND:GAM00061701,89,0,0,"The Gambia",TPCP
2013-01-01T00:00:00,TPCP,GHCND:GAM00061701,20,0,0,"The Gambia",TPCP
2013-02-01T00:00:00,TPCP,GHCND:GAM00061701,0,0,0,"The Gambia",TPCP
2013-06-01T00:00:00,TPCP,GHCND:GAM00061701,69,0,0,"The Gambia",TPCP
2013-07-01T00:00:00,TPCP,GHCND:GAM00061701,993,0,0,"The Gambia",TPCP
2013-08-01T00:00:00,TPCP,GHCND:GAM00061701,7192,0,0,"The Gambia",TPCP
2013-09-01T00:00:00,TPCP,GHCND:GAM00061701,1870,0,0,"The Gambia",TPCP
2013-10-01T00:00:00,TPCP,GHCND:GAM00061701,279,0,0,"The Gambia",TPCP
2013-11-01T00:00:00,TPCP,GHCND:GAM00061701,0,0,0,"The Gambia",TPCP
2014-05-01T00:00:00,TPCP,GHCND:GAM00061701,20,0,0,"The Gambia",TPCP
2014-06-01T00:00:00,TPCP,GHCND:GAM00061701,170,0,0,"The Gambia",TPCP
2014-07-01T00:00:00,TPCP,GHCND:GAM00061701,386,0,0,"The Gambia",TPCP
2014-08-01T00:00:00,TPCP,GHCND:GAM00061701,2848,0,0,"The Gambia",TPCP
2014-09-01T00:00:00,TPCP,GHCND:GAM00061701,2677,0,0,"The Gambia",TPCP
2014-10-01T00:00:00,TPCP,GHCND:GAM00061701,305,0,0,"The Gambia",TPCP
2014-12-01T00:00:00,TPCP,GHCND:GAM00061701,523,0,0,"The Gambia",TPCP
2015-03-01T00:00:00,TPCP,GHCND:GAM00061701,0,0,0,"The Gambia",TPCP
2015-07-01T00:00:00,TPCP,GHCND:GAM00061701,1003,0,0,"The Gambia",TPCP
2015-08-01T00:00:00,TPCP,GHCND:GAM00061701,2915,0,0,"The Gambia",TPCP
2015-09-01T00:00:00,TPCP,GHCND:GAM00061701,3797,0,0,"The Gambia",TPCP
2015-10-01T00:00:00,TPCP,GHCND:GAM00061701,450,0,0,"The Gambia",TPCP
2015-11-01T00:00:00,TPCP,GHCND:GAM00061701,279,0,0,"The Gambia",TPCP
2010-07-01T00:00:00,TPCP,GHCND:GAM00061701,2324,0,0,"The Gambia",TPCP
2010-08-01T00:00:00,TPCP,GHCND:GAM00061701,1375,0,0,"The Gambia",TPCP
2010-09-01T00:00:00,TPCP,GHCND:GAM00061701,7671,0,0,"The Gambia",TPCP
2010-10-01T00:00:00,TPCP,GHCND:GAM00061701,415,0,0,"The Gambia",TPCP
2011-06-01T00:00:00,TPCP,GHCND:GAM00061701,379,0,0,"The Gambia",TPCP
2011-07-01T00:00:00,TPCP,GHCND:GAM00061701,648,0,0,"The Gambia",TPCP
2011-08-01T00:00:00,TPCP,GHCND:GAM00061701,3112,0,0,"The Gambia",TPCP
