date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-04-01T00:00:00,TPCP,GHCND:GV000001832,340,0,0,Guinea,TPCP
2010-07-01T00:00:00,TPCP,GHCND:GV000001832,988,0,0,Guinea,TPCP
2010-08-01T00:00:00,TPCP,GHCND:GV000001832,1798,0,0,Guinea,TPCP
2010-09-01T00:00:00,TPCP,GHCND:GV000001832,439,0,0,Guinea,TPCP
2010-10-01T00:00:00,TPCP,GHCND:GV000001832,20,0,0,Guinea,TPCP
2011-06-01T00:00:00,TPCP,GHCND:GV000001832,5,0,0,Guinea,TPCP
2011-07-01T00:00:00,TPCP,GHCND:GV000001832,119,0,0,Guinea,TPCP
2011-08-01T00:00:00,TPCP,GHCND:GV000001832,838,0,0,Guinea,TPCP
2011-09-01T00:00:00,TPCP,GHCND:GV000001832,289,0,0,Guinea,TPCP
2011-10-01T00:00:00,TPCP,GHCND:GV000001832,135,0,0,Guinea,TPCP
2011-11-01T00:00:00,TPCP,GHCND:GV000001832,419,0,0,Guinea,TPCP
2012-04-01T00:00:00,TPCP,GHCND:GV000001832,160,0,0,Guinea,TPCP
2012-05-01T00:00:00,TPCP,GHCND:GV000001832,590,0,0,Guinea,TPCP
2012-06-01T00:00:00,TPCP,GHCND:GV000001832,2054,0,0,Guinea,TPCP
2012-07-01T00:00:00,TPCP,GHCND:GV000001832,7599,0,0,Guinea,TPCP
2012-08-01T00:00:00,TPCP,GHCND:GV000001832,5644,0,0,Guinea,TPCP
2012-09-01T00:00:00,TPCP,GHCND:GV000001832,841,0,0,Guinea,TPCP
2012-11-01T00:00:00,TPCP,GHCND:GV000001832,330,0,0,Guinea,TPCP
2013-05-01T00:00:00,TPCP,GHCND:GV000001832,1133,0,0,Guinea,TPCP
2013-06-01T00:00:00,TPCP,GHCND:GV000001832,5050,0,0,Guinea,TPCP
2013-07-01T00:00:00,TPCP,GHCND:GV000001832,4333,0,0,Guinea,TPCP
2013-08-01T00:00:00,TPCP,GHCND:GV000001832,13861,0,0,Guinea,TPCP
2013-09-01T00:00:00,TPCP,GHCND:GV000001832,3941,0,0,Guinea,TPCP
2013-10-01T00:00:00,TPCP,GHCND:GV000001832,1886,0,0,Guinea,TPCP
2013-11-01T00:00:00,TPCP,GHCND:GV000001832,952,0,0,Guinea,TPCP
2014-04-01T00:00:00,TPCP,GHCND:GV000001832,140,0,0,Guinea,TPCP
2014-05-01T00:00:00,TPCP,GHCND:GV000001832,272,0,0,Guinea,TPCP
2014-06-01T00:00:00,TPCP,GHCND:GV000001832,2703,0,0,Guinea,TPCP
2014-07-01T00:00:00,TPCP,GHCND:GV000001832,2680,0,0,Guinea,TPCP
2014-08-01T00:00:00,TPCP,GHCND:GV000001832,3245,0,0,Guinea,TPCP
2014-09-01T00:00:00,TPCP,GHCND:GV000001832,2363,0,0,Guinea,TPCP
2014-10-01T00:00:00,TPCP,GHCND:GV000001832,1408,0,0,Guinea,TPCP
2014-11-01T00:00:00,TPCP,GHCND:GV000001832,176,0,0,Guinea,TPCP
2015-04-01T00:00:00,TPCP,GHCND:GV000001832,10,0,0,Guinea,TPCP
2015-05-01T00:00:00,TPCP,GHCND:GV000001820,71,0,0,Guinea,TPCP
2015-05-01T00:00:00,TPCP,GHCND:GV000001832,3232,0,0,Guinea,TPCP
2015-06-01T00:00:00,TPCP,GHCND:GV000001832,2943,0,0,Guinea,TPCP
2015-07-01T00:00:00,TPCP,GHCND:GV000001832,9719,0,0,Guinea,TPCP
2015-08-01T00:00:00,TPCP,GHCND:GV000001832,4417,0,0,Guinea,TPCP
2015-09-01T00:00:00,TPCP,GHCND:GV000001832,3014,0,0,Guinea,TPCP
2015-10-01T00:00:00,TPCP,GHCND:GV000001832,3456,0,0,Guinea,TPCP
2015-11-01T00:00:00,TPCP,GHCND:GV000001832,2098,0,0,Guinea,TPCP
2010-04-01T00:00:00,TPCP,GHCND:GV000001832,340,0,0,Guinea,TPCP
2010-07-01T00:00:00,TPCP,GHCND:GV000001832,988,0,0,Guinea,TPCP
2010-08-01T00:00:00,TPCP,GHCND:GV000001832,1798,0,0,Guinea,TPCP
2010-09-01T00:00:00,TPCP,GHCND:GV000001832,439,0,0,Guinea,TPCP
2010-10-01T00:00:00,TPCP,GHCND:GV000001832,20,0,0,Guinea,TPCP
2011-06-01T00:00:00,TPCP,GHCND:GV000001832,5,0,0,Guinea,TPCP
2011-07-01T00:00:00,TPCP,GHCND:GV000001832,119,0,0,Guinea,TPCP
2011-08-01T00:00:00,TPCP,GHCND:GV000001832,838,0,0,Guinea,TPCP
2011-09-01T00:00:00,TPCP,GHCND:GV000001832,289,0,0,Guinea,TPCP
2011-10-01T00:00:00,TPCP,GHCND:GV000001832,135,0,0,Guinea,TPCP
2011-11-01T00:00:00,TPCP,GHCND:GV000001832,419,0,0,Guinea,TPCP
2012-04-01T00:00:00,TPCP,GHCND:GV000001832,160,0,0,Guinea,TPCP
2012-05-01T00:00:00,TPCP,GHCND:GV000001832,590,0,0,Guinea,TPCP
2012-06-01T00:00:00,TPCP,GHCND:GV000001832,2054,0,0,Guinea,TPCP
2012-07-01T00:00:00,TPCP,GHCND:GV000001832,7599,0,0,Guinea,TPCP
2012-08-01T00:00:00,TPCP,GHCND:GV000001832,5644,0,0,Guinea,TPCP
2012-09-01T00:00:00,TPCP,GHCND:GV000001832,841,0,0,Guinea,TPCP
2012-11-01T00:00:00,TPCP,GHCND:GV000001832,330,0,0,Guinea,TPCP
2013-05-01T00:00:00,TPCP,GHCND:GV000001832,1133,0,0,Guinea,TPCP
2013-06-01T00:00:00,TPCP,GHCND:GV000001832,5050,0,0,Guinea,TPCP
2013-07-01T00:00:00,TPCP,GHCND:GV000001832,4333,0,0,Guinea,TPCP
2013-08-01T00:00:00,TPCP,GHCND:GV000001832,13861,0,0,Guinea,TPCP
2013-09-01T00:00:00,TPCP,GHCND:GV000001832,3941,0,0,Guinea,TPCP
2013-10-01T00:00:00,TPCP,GHCND:GV000001832,1886,0,0,Guinea,TPCP
2013-11-01T00:00:00,TPCP,GHCND:GV000001832,952,0,0,Guinea,TPCP
2014-04-01T00:00:00,TPCP,GHCND:GV000001832,140,0,0,Guinea,TPCP
2014-05-01T00:00:00,TPCP,GHCND:GV000001832,272,0,0,Guinea,TPCP
2014-06-01T00:00:00,TPCP,GHCND:GV000001832,2703,0,0,Guinea,TPCP
2014-07-01T00:00:00,TPCP,GHCND:GV000001832,2680,0,0,Guinea,TPCP
2014-08-01T00:00:00,TPCP,GHCND:GV000001832,3245,0,0,Guinea,TPCP
2014-09-01T00:00:00,TPCP,GHCND:GV000001832,2363,0,0,Guinea,TPCP
2014-10-01T00:00:00,TPCP,GHCND:GV000001832,1408,0,0,Guinea,TPCP
2014-11-01T00:00:00,TPCP,GHCND:GV000001832,176,0,0,Guinea,TPCP
2015-04-01T00:00:00,TPCP,GHCND:GV000001832,10,0,0,Guinea,TPCP
2015-05-01T00:00:00,TPCP,GHCND:GV000001820,71,0,0,Guinea,TPCP
2015-05-01T00:00:00,TPCP,GHCND:GV000001832,3232,0,0,Guinea,TPCP
2015-06-01T00:00:00,TPCP,GHCND:GV000001832,2943,0,0,Guinea,TPCP
2015-07-01T00:00:00,TPCP,GHCND:GV000001832,9719,0,0,Guinea,TPCP
2015-08-01T00:00:00,TPCP,GHCND:GV000001832,4417,0,0,Guinea,TPCP
2015-09-01T00:00:00,TPCP,GHCND:GV000001832,3014,0,0,Guinea,TPCP
2015-10-01T00:00:00,TPCP,GHCND:GV000001832,3456,0,0,Guinea,TPCP
2015-11-01T00:00:00,TPCP,GHCND:GV000001832,2098,0,0,Guinea,TPCP
2010-04-01T00:00:00,TPCP,GHCND:GV000001832,340,0,0,Guinea,TPCP
2010-07-01T00:00:00,TPCP,GHCND:GV000001832,988,0,0,Guinea,TPCP
2010-08-01T00:00:00,TPCP,GHCND:GV000001832,1798,0,0,Guinea,TPCP
2010-09-01T00:00:00,TPCP,GHCND:GV000001832,439,0,0,Guinea,TPCP
2010-10-01T00:00:00,TPCP,GHCND:GV000001832,20,0,0,Guinea,TPCP
2011-06-01T00:00:00,TPCP,GHCND:GV000001832,5,0,0,Guinea,TPCP
2011-07-01T00:00:00,TPCP,GHCND:GV000001832,119,0,0,Guinea,TPCP
2011-08-01T00:00:00,TPCP,GHCND:GV000001832,838,0,0,Guinea,TPCP
2011-09-01T00:00:00,TPCP,GHCND:GV000001832,289,0,0,Guinea,TPCP
2011-10-01T00:00:00,TPCP,GHCND:GV000001832,135,0,0,Guinea,TPCP
2011-11-01T00:00:00,TPCP,GHCND:GV000001832,419,0,0,Guinea,TPCP
2012-04-01T00:00:00,TPCP,GHCND:GV000001832,160,0,0,Guinea,TPCP
2012-05-01T00:00:00,TPCP,GHCND:GV000001832,590,0,0,Guinea,TPCP
2012-06-01T00:00:00,TPCP,GHCND:GV000001832,2054,0,0,Guinea,TPCP
2012-07-01T00:00:00,TPCP,GHCND:GV000001832,7599,0,0,Guinea,TPCP
2012-08-01T00:00:00,TPCP,GHCND:GV000001832,5644,0,0,Guinea,TPCP
2012-09-01T00:00:00,TPCP,GHCND:GV000001832,841,0,0,Guinea,TPCP
2012-11-01T00:00:00,TPCP,GHCND:GV000001832,330,0,0,Guinea,TPCP
2013-05-01T00:00:00,TPCP,GHCND:GV000001832,1133,0,0,Guinea,TPCP
2013-06-01T00:00:00,TPCP,GHCND:GV000001832,5050,0,0,Guinea,TPCP
2013-07-01T00:00:00,TPCP,GHCND:GV000001832,4333,0,0,Guinea,TPCP
2013-08-01T00:00:00,TPCP,GHCND:GV000001832,13861,0,0,Guinea,TPCP
2013-09-01T00:00:00,TPCP,GHCND:GV000001832,3941,0,0,Guinea,TPCP
2013-10-01T00:00:00,TPCP,GHCND:GV000001832,1886,0,0,Guinea,TPCP
2013-11-01T00:00:00,TPCP,GHCND:GV000001832,952,0,0,Guinea,TPCP
2014-04-01T00:00:00,TPCP,GHCND:GV000001832,140,0,0,Guinea,TPCP
2014-05-01T00:00:00,TPCP,GHCND:GV000001832,272,0,0,Guinea,TPCP
2014-06-01T00:00:00,TPCP,GHCND:GV000001832,2703,0,0,Guinea,TPCP
2014-07-01T00:00:00,TPCP,GHCND:GV000001832,2680,0,0,Guinea,TPCP
2014-08-01T00:00:00,TPCP,GHCND:GV000001832,3245,0,0,Guinea,TPCP
2014-09-01T00:00:00,TPCP,GHCND:GV000001832,2363,0,0,Guinea,TPCP
2014-10-01T00:00:00,TPCP,GHCND:GV000001832,1408,0,0,Guinea,TPCP
2014-11-01T00:00:00,TPCP,GHCND:GV000001832,176,0,0,Guinea,TPCP
2015-04-01T00:00:00,TPCP,GHCND:GV000001832,10,0,0,Guinea,TPCP
2015-05-01T00:00:00,TPCP,GHCND:GV000001820,71,0,0,Guinea,TPCP
2015-05-01T00:00:00,TPCP,GHCND:GV000001832,3232,0,0,Guinea,TPCP
2015-06-01T00:00:00,TPCP,GHCND:GV000001832,2943,0,0,Guinea,TPCP
2015-07-01T00:00:00,TPCP,GHCND:GV000001832,9719,0,0,Guinea,TPCP
2015-08-01T00:00:00,TPCP,GHCND:GV000001832,4417,0,0,Guinea,TPCP
2015-09-01T00:00:00,TPCP,GHCND:GV000001832,3014,0,0,Guinea,TPCP
2015-10-01T00:00:00,TPCP,GHCND:GV000001832,3456,0,0,Guinea,TPCP
2015-11-01T00:00:00,TPCP,GHCND:GV000001832,2098,0,0,Guinea,TPCP
2010-04-01T00:00:00,TPCP,GHCND:GV000001832,340,0,0,Guinea,TPCP
2010-07-01T00:00:00,TPCP,GHCND:GV000001832,988,0,0,Guinea,TPCP
2010-08-01T00:00:00,TPCP,GHCND:GV000001832,1798,0,0,Guinea,TPCP
2010-09-01T00:00:00,TPCP,GHCND:GV000001832,439,0,0,Guinea,TPCP
