date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-01-01T00:00:00,TPCP,GHCND:GYW00010502,239,0,0,Guyana,TPCP
2010-04-01T00:00:00,TPCP,GHCND:GYW00010502,602,0,0,Guyana,TPCP
2010-05-01T00:00:00,TPCP,GHCND:GYW00010502,211,0,0,Guyana,TPCP
2010-06-01T00:00:00,TPCP,GHCND:GYW00010502,117,0,0,Guyana,TPCP
2010-07-01T00:00:00,TPCP,GHCND:GYW00010502,620,0,0,Guyana,TPCP
2010-08-01T00:00:00,TPCP,GHCND:GYW00010502,179,0,0,Guyana,TPCP
2010-10-01T00:00:00,TPCP,GHCND:GYW00010502,117,0,0,Guyana,TPCP
2010-11-01T00:00:00,TPCP,GHCND:GYW00010502,572,0,0,Guyana,TPCP
2010-12-01T00:00:00,TPCP,GHCND:GYW00010502,302,0,0,Guyana,TPCP
2011-01-01T00:00:00,TPCP,GHCND:GYW00010502,358,0,0,Guyana,TPCP
2011-02-01T00:00:00,TPCP,GHCND:GYW00010502,2379,0,0,Guyana,TPCP
2011-03-01T00:00:00,TPCP,GHCND:GYW00010502,722,0,0,Guyana,TPCP
2011-04-01T00:00:00,TPCP,GHCND:GYW00010502,154,0,0,Guyana,TPCP
2011-05-01T00:00:00,TPCP,GHCND:GYW00010502,648,0,0,Guyana,TPCP
2011-06-01T00:00:00,TPCP,GHCND:GYW00010502,672,0,0,Guyana,TPCP
2011-07-01T00:00:00,TPCP,GHCND:GYW00010502,932,0,0,Guyana,TPCP
2011-08-01T00:00:00,TPCP,GHCND:GYW00010502,447,0,0,Guyana,TPCP
2011-12-01T00:00:00,TPCP,GHCND:GYW00010502,2568,0,0,Guyana,TPCP
2013-04-01T00:00:00,TPCP,GHCND:GYW00010502,485,0,0,Guyana,TPCP
2013-05-01T00:00:00,TPCP,GHCND:GYW00010502,3355,0,0,Guyana,TPCP
2013-06-01T00:00:00,TPCP,GHCND:GYW00010502,2757,0,0,Guyana,TPCP
2013-07-01T00:00:00,TPCP,GHCND:GYW00010502,2404,0,0,Guyana,TPCP
2013-08-01T00:00:00,TPCP,GHCND:GYW00010502,691,0,0,Guyana,TPCP
2013-09-01T00:00:00,TPCP,GHCND:GYW00010502,290,0,0,Guyana,TPCP
2013-10-01T00:00:00,TPCP,GHCND:GYW00010502,335,0,0,Guyana,TPCP
2013-11-01T00:00:00,TPCP,GHCND:GYM00081001,772,0,0,Guyana,TPCP
2013-11-01T00:00:00,TPCP,GHCND:GYW00010502,784,0,0,Guyana,TPCP
2013-12-01T00:00:00,TPCP,GHCND:GYM00081001,1227,0,0,Guyana,TPCP
