date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-01-01T00:00:00,TPCP,GHCND:TH000048300,244,0,0,Myanmar,TPCP
2010-04-01T00:00:00,TPCP,GHCND:TH000048300,297,0,0,Myanmar,TPCP
2010-05-01T00:00:00,TPCP,GHCND:TH000048300,949,0,0,Myanmar,TPCP
2010-06-01T00:00:00,TPCP,GHCND:TH000048300,1306,0,0,Myanmar,TPCP
2010-07-01T00:00:00,TPCP,GHCND:TH000048300,2959,0,0,Myanmar,TPCP
2010-08-01T00:00:00,TPCP,GHCND:TH000048300,3870,0,0,Myanmar,TPCP
2010-09-01T00:00:00,TPCP,GHCND:TH000048300,1640,0,0,Myanmar,TPCP
2010-10-01T00:00:00,TPCP,GHCND:TH000048300,2540,0,0,Myanmar,TPCP
2010-12-01T00:00:00,TPCP,GHCND:TH000048300,18,0,0,Myanmar,TPCP
2011-01-01T00:00:00,TPCP,GHCND:TH000048300,275,0,0,Myanmar,TPCP
2011-02-01T00:00:00,TPCP,GHCND:TH000048300,0,0,0,Myanmar,TPCP
2011-03-01T00:00:00,TPCP,GHCND:TH000048300,811,0,0,Myanmar,TPCP
2011-04-01T00:00:00,TPCP,GHCND:TH000048300,964,0,0,Myanmar,TPCP
2011-05-01T00:00:00,TPCP,GHCND:TH000048300,2662,0,0,Myanmar,TPCP
2011-06-01T00:00:00,TPCP,GHCND:TH000048300,2013,0,0,Myanmar,TPCP
2011-07-01T00:00:00,TPCP,GHCND:TH000048300,3210,0,0,Myanmar,TPCP
2011-08-01T00:00:00,TPCP,GHCND:TH000048300,3738,0,0,Myanmar,TPCP
2011-09-01T00:00:00,TPCP,GHCND:TH000048300,2491,0,0,Myanmar,TPCP
2011-10-01T00:00:00,TPCP,GHCND:TH000048300,1902,0,0,Myanmar,TPCP
2011-11-01T00:00:00,TPCP,GHCND:TH000048300,242,0,0,Myanmar,TPCP
2011-12-01T00:00:00,TPCP,GHCND:TH000048300,3,0,0,Myanmar,TPCP
2012-01-01T00:00:00,TPCP,GHCND:TH000048300,87,0,0,Myanmar,TPCP
2012-03-01T00:00:00,TPCP,GHCND:TH000048300,66,0,0,Myanmar,TPCP
2012-04-01T00:00:00,TPCP,GHCND:TH000048300,1368,0,0,Myanmar,TPCP
2012-05-01T00:00:00,TPCP,GHCND:TH000048300,2458,0,0,Myanmar,TPCP
2012-06-01T00:00:00,TPCP,GHCND:TH000048300,2868,0,0,Myanmar,TPCP
2012-07-01T00:00:00,TPCP,GHCND:TH000048300,3252,0,0,Myanmar,TPCP
2012-08-01T00:00:00,TPCP,GHCND:TH000048300,2160,0,0,Myanmar,TPCP
2012-09-01T00:00:00,TPCP,GHCND:TH000048300,1623,0,0,Myanmar,TPCP
2012-10-01T00:00:00,TPCP,GHCND:TH000048300,995,0,0,Myanmar,TPCP
2012-11-01T00:00:00,TPCP,GHCND:TH000048300,562,0,0,Myanmar,TPCP
2012-12-01T00:00:00,TPCP,GHCND:TH000048300,74,0,0,Myanmar,TPCP
2013-01-01T00:00:00,TPCP,GHCND:TH000048300,490,0,0,Myanmar,TPCP
2013-02-01T00:00:00,TPCP,GHCND:TH000048300,5,0,0,Myanmar,TPCP
2013-03-01T00:00:00,TPCP,GHCND:TH000048300,87,0,0,Myanmar,TPCP
2013-04-01T00:00:00,TPCP,GHCND:TH000048300,167,0,0,Myanmar,TPCP
2013-05-01T00:00:00,TPCP,GHCND:TH000048300,1318,0,0,Myanmar,TPCP
2013-06-01T00:00:00,TPCP,GHCND:TH000048300,1266,0,0,Myanmar,TPCP
2013-07-01T00:00:00,TPCP,GHCND:TH000048300,1848,0,0,Myanmar,TPCP
2013-08-01T00:00:00,TPCP,GHCND:BMM00048097,0,0,0,Myanmar,TPCP
2013-08-01T00:00:00,TPCP,GHCND:TH000048300,3451,0,0,Myanmar,TPCP
