id,utc_created,utc_updated,country,country_code,indicator_code,indicator,value,year
1,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Afghanistan,AFG,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.602,2013
2,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Albania,ALB,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.957,2013
3,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","United Arab Emirates",ARE,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.959,2013
4,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Argentina,ARG,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.001,2013
5,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Armenia,ARM,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.994,2013
6,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Australia,AUS,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.975,2013
7,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Austria,AUT,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.935,2013
8,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Azerbaijan,AZE,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.952,2013
9,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Burundi,BDI,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.904,2013
10,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Belgium,BEL,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.977,2013
11,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Benin,BEN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.822,2013
12,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Burkina Faso",BFA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.924,2013
13,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Bangladesh,BGD,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.908,2013
14,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Bulgaria,BGR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.994,2013
15,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Bahrain,BHR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.961,2013
16,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Belarus,BLR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.021,2013
17,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Belize,BLZ,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.963,2013
18,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Bolivia (Plurinational State of)",BOL,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.931,2013
19,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Barbados,BRB,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.021,2013
20,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Brunei Darussalam",BRN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.981,2013
21,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Botswana,BWA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.964,2013
22,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Central African Republic",CAF,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.776,2013
23,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Canada,CAN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.986,2013
24,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Switzerland,CHE,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.953,2013
25,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Chile,CHL,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.962,2013
26,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",China,CHN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.939,2013
27,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Côte d'Ivoire",CIV,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.974,2013
28,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Cameroon,CMR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.872,2013
29,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Congo (Democratic Republic of the)",COD,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.822,2013
30,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Congo,COG,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.928,2013
31,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Colombia,COL,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.972,2013
32,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Costa Rica",CRI,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.973,2013
33,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Cuba,CUB,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.962,2013
34,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Cyprus,CYP,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.94,2013
35,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Czech Republic",CZE,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.969,2013
