ID_VALDA,FIN_VALDA,INI_VALDA,ID_DATO,ID_UNIDAD,ID_MUN,VAL_VALDA,ID_DEPTO
2564132,2013-02-03,2012-01-01,664,15,,2368909.00000,00
2564131,2013-02-03,2012-01-01,664,15,,238.00000,91
2564130,2013-02-03,2012-01-01,664,15,,1193.00000,94
2564129,2013-02-03,2012-01-01,664,15,,2807.00000,97
2564128,2013-02-03,2012-01-01,664,15,,4598.00000,63
2564127,2013-02-03,2012-01-01,664,15,,5953.00000,08
2564126,2013-02-03,2012-01-01,664,15,,821.00000,11
2564125,2013-02-03,2012-01-01,664,15,,2149.00000,66
2564124,2013-02-03,2012-01-01,664,15,,8424.00000,15
2564123,2013-02-03,2012-01-01,664,15,,25131.00000,44
2564122,2013-02-03,2012-01-01,664,15,,142375.00000,85
2564121,2013-02-03,2012-01-01,664,15,,12932.00000,17
2564120,2013-02-03,2012-01-01,664,15,,183009.00000,99
2564119,2013-02-03,2012-01-01,664,15,,56447.00000,81
2564118,2013-02-03,2012-01-01,664,15,,15346.00000,41
2564117,2013-02-03,2012-01-01,664,15,,41781.00000,95
2564116,2013-02-03,2012-01-01,664,15,,15255.00000,25
2564115,2013-02-03,2012-01-01,664,15,,35278.00000,27
2564114,2013-02-03,2012-01-01,664,15,,16134.00000,19
2564113,2013-02-03,2012-01-01,664,15,,90229.00000,18
2564112,2013-02-03,2012-01-01,664,15,,29557.00000,76
2564111,2013-02-03,2012-01-01,664,15,,66276.00000,68
2564110,2013-02-03,2012-01-01,664,15,,52485.00000,70
2564109,2013-02-03,2012-01-01,664,15,,62480.00000,23
2564108,2013-02-03,2012-01-01,664,15,,53515.00000,86
2564107,2013-02-03,2012-01-01,664,15,,33713.00000,52
2564106,2013-02-03,2012-01-01,664,15,,89087.00000,47
2564105,2013-02-03,2012-01-01,664,15,,92577.00000,54
2564104,2013-02-03,2012-01-01,664,15,,615717.00000,50
2564103,2013-02-03,2012-01-01,664,15,,86515.00000,73
2564102,2013-02-03,2012-01-01,664,15,,172131.00000,20
2564101,2013-02-03,2012-01-01,664,15,,120971.00000,13
2564100,2013-02-03,2012-01-01,664,15,,233785.00000,05
2564099,2012-12-28,2012-01-01,664,15,,2246665.00000,00
2564098,2012-12-28,2012-01-01,664,15,,238.00000,91
2564097,2012-12-28,2012-01-01,664,15,,1193.00000,94
2564096,2012-12-28,2012-01-01,664,15,,2807.00000,97
2564095,2012-12-28,2012-01-01,664,15,,4594.00000,63
2564094,2012-12-28,2012-01-01,664,15,,5953.00000,08
2564093,2012-12-28,2012-01-01,664,15,,821.00000,11
2564092,2012-12-28,2012-01-01,664,15,,2085.00000,66
2564091,2012-12-28,2012-01-01,664,15,,8118.00000,15
2564090,2012-12-28,2012-01-01,664,15,,134551.00000,85
2564089,2012-12-28,2012-01-01,664,15,,24782.00000,44
2564088,2012-12-28,2012-01-01,664,15,,168374.00000,99
2564087,2012-12-28,2012-01-01,664,15,,12205.00000,17
2564086,2012-12-28,2012-01-01,664,15,,56054.00000,81
2564085,2012-12-28,2012-01-01,664,15,,15179.00000,41
2564084,2012-12-28,2012-01-01,664,15,,37706.00000,95
2564083,2012-12-28,2012-01-01,664,15,,14820.00000,25
2564082,2012-12-28,2012-01-01,664,15,,33868.00000,27
2564081,2012-12-28,2012-01-01,664,15,,15671.00000,19
2564080,2012-12-28,2012-01-01,664,15,,81302.00000,18
2564079,2012-12-28,2012-01-01,664,15,,28342.00000,76
2564078,2012-12-28,2012-01-01,664,15,,61604.00000,68
2564077,2012-12-28,2012-01-01,664,15,,50142.00000,70
2564076,2012-12-28,2012-01-01,664,15,,61124.00000,23
2564075,2012-12-28,2012-01-01,664,15,,46918.00000,86
2564074,2012-12-28,2012-01-01,664,15,,33384.00000,52
2564073,2012-12-28,2012-01-01,664,15,,88369.00000,54
2564072,2012-12-28,2012-01-01,664,15,,85372.00000,47
2564071,2012-12-28,2012-01-01,664,15,,584708.00000,50
2564070,2012-12-28,2012-01-01,664,15,,82278.00000,73
2564069,2012-12-28,2012-01-01,664,15,,167565.00000,20
2564068,2012-12-28,2012-01-01,664,15,,115540.00000,13
2564067,2012-12-28,2012-01-01,664,15,,220998.00000,05
2564066,2012-10-01,2012-01-01,664,15,,1754276.00000,00
2564065,2012-10-01,2012-01-01,664,15,,136.00000,91
2564064,2012-10-01,2012-01-01,664,15,,284.00000,97
2564063,2012-10-01,2012-01-01,664,15,,1123.00000,94
2564062,2012-10-01,2012-01-01,664,15,,113.00000,63
2564061,2012-10-01,2012-01-01,664,15,,5570.00000,08
2564060,2012-10-01,2012-01-01,664,15,,645.00000,66
2564059,2012-10-01,2012-01-01,664,15,,766.00000,11
2564058,2012-10-01,2012-01-01,664,15,,6190.00000,15
2564057,2012-10-01,2012-01-01,664,15,,92544.00000,99
2564056,2012-10-01,2012-01-01,664,15,,113541.00000,85
2564055,2012-10-01,2012-01-01,664,15,,3656.00000,17
2564054,2012-10-01,2012-01-01,664,15,,23135.00000,44
2564053,2012-10-01,2012-01-01,664,15,,21507.00000,95
