id,utc_created,utc_updated,country,country_code,indicator_code,indicator,value,year
1,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Afghanistan,AFG,38406,"MPI: Multidimensional poverty index, (revised)",0.293,2013
2,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Albania,ALB,38406,"MPI: Multidimensional poverty index, (revised)",0.005,2013
3,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Argentina,ARG,38406,"MPI: Multidimensional poverty index, (revised)",0.015,2013
4,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Armenia,ARM,38406,"MPI: Multidimensional poverty index, (revised)",0.002,2013
5,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Azerbaijan,AZE,38406,"MPI: Multidimensional poverty index, (revised)",0.009,2013
6,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Burundi,BDI,38406,"MPI: Multidimensional poverty index, (revised)",0.442,2013
7,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Benin,BEN,38406,"MPI: Multidimensional poverty index, (revised)",0.401,2013
8,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Burkina Faso",BFA,38406,"MPI: Multidimensional poverty index, (revised)",0.508,2013
9,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Bangladesh,BGD,38406,"MPI: Multidimensional poverty index, (revised)",0.237,2013
10,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Bosnia and Herzegovina",BIH,38406,"MPI: Multidimensional poverty index, (revised)",0.006,2013
11,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Belarus,BLR,38406,"MPI: Multidimensional poverty index, (revised)",0.001,2013
12,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Belize,BLZ,38406,"MPI: Multidimensional poverty index, (revised)",0.03,2013
13,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Bolivia (Plurinational State of)",BOL,38406,"MPI: Multidimensional poverty index, (revised)",0.097,2013
14,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Brazil,BRA,38406,"MPI: Multidimensional poverty index, (revised)",0.012,2013
15,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Bhutan,BTN,38406,"MPI: Multidimensional poverty index, (revised)",0.128,2013
16,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Central African Republic",CAF,38406,"MPI: Multidimensional poverty index, (revised)",0.424,2013
17,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",China,CHN,38406,"MPI: Multidimensional poverty index, (revised)",0.026,2013
18,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Côte d'Ivoire",CIV,38406,"MPI: Multidimensional poverty index, (revised)",0.007,2013
19,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Cameroon,CMR,38406,"MPI: Multidimensional poverty index, (revised)",0.26,2013
20,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Congo (Democratic Republic of the)",COD,38406,"MPI: Multidimensional poverty index, (revised)",0.399,2013
21,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Congo,COG,38406,"MPI: Multidimensional poverty index, (revised)",0.192,2013
22,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Colombia,COL,38406,"MPI: Multidimensional poverty index, (revised)",0.032,2013
23,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Djibouti,DJI,38406,"MPI: Multidimensional poverty index, (revised)",0.127,2013
24,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Dominican Republic",DOM,38406,"MPI: Multidimensional poverty index, (revised)",0.026,2013
