ID_VALDA,FIN_VALDA,INI_VALDA,ID_DATO,ID_UNIDAD,ID_MUN,VAL_VALDA,ID_DEPTO
706176,2004-12-31,2004-01-01,343,9,05380,0.97750,
706175,2004-12-31,2004-01-01,343,9,05376,0.85940,
706174,2004-12-31,2004-01-01,343,9,05368,0.56380,
706172,2004-12-31,2004-01-01,343,9,05361,0.26390,
707200,2004-12-31,2004-01-01,343,9,99773,0.67030,
707199,2004-12-31,2004-01-01,343,9,99624,0.63370,
707198,2004-12-31,2004-01-01,343,9,99524,0.66540,
707197,2004-12-31,2004-01-01,343,9,99001,0.83520,
707196,2004-12-31,2004-01-01,343,9,97666,0.48650,
707195,2004-12-31,2004-01-01,343,9,97001,0.72740,
707194,2004-12-31,2004-01-01,343,9,95200,0.12710,
707193,2004-12-31,2004-01-01,343,9,95025,0.19080,
707192,2004-12-31,2004-01-01,343,9,95015,0.54790,
707191,2004-12-31,2004-01-01,343,9,95001,0.59210,
707190,2004-12-31,2004-01-01,343,9,94001,0.14370,
707189,2004-12-31,2004-01-01,343,9,91001,0.36640,
707188,2004-12-31,2004-01-01,343,9,88564,0.62300,
707187,2004-12-31,2004-01-01,343,9,88001,0.46570,
707186,2004-12-31,2004-01-01,343,9,86885,0.16180,
707185,2004-12-31,2004-01-01,343,9,86865,0.77380,
707184,2004-12-31,2004-01-01,343,9,86760,0.62040,
707183,2004-12-31,2004-01-01,343,9,86757,0.28380,
707182,2004-12-31,2004-01-01,343,9,86755,0.08260,
707181,2004-12-31,2004-01-01,343,9,86749,0.54480,
707180,2004-12-31,2004-01-01,343,9,86573,0.78470,
707179,2004-12-31,2004-01-01,343,9,86571,0.83470,
707178,2004-12-31,2004-01-01,343,9,86569,0.54680,
707177,2004-12-31,2004-01-01,343,9,86568,0.51510,
707176,2004-12-31,2004-01-01,343,9,86320,0.70620,
707175,2004-12-31,2004-01-01,343,9,86219,0.30660,
707174,2004-12-31,2004-01-01,343,9,86001,0.29460,
707173,2004-12-31,2004-01-01,343,9,85440,0.48020,
707172,2004-12-31,2004-01-01,343,9,85430,0.28470,
707171,2004-12-31,2004-01-01,343,9,85410,0.72820,
707170,2004-12-31,2004-01-01,343,9,85400,0.77830,
707169,2004-12-31,2004-01-01,343,9,85325,0.96920,
707168,2004-12-31,2004-01-01,343,9,85315,0.91540,
707167,2004-12-31,2004-01-01,343,9,85300,0.58260,
707166,2004-12-31,2004-01-01,343,9,85279,0.55540,
707165,2004-12-31,2004-01-01,343,9,85263,0.48240,
707164,2004-12-31,2004-01-01,343,9,85250,0.65400,
707163,2004-12-31,2004-01-01,343,9,85230,0.89790,
707162,2004-12-31,2004-01-01,343,9,85225,0.59740,
707161,2004-12-31,2004-01-01,343,9,85162,0.76770,
707160,2004-12-31,2004-01-01,343,9,85139,0.72310,
707159,2004-12-31,2004-01-01,343,9,85136,0.80810,
707158,2004-12-31,2004-01-01,343,9,85125,0.79790,
707157,2004-12-31,2004-01-01,343,9,85015,0.56080,
707156,2004-12-31,2004-01-01,343,9,85010,0.58400,
707155,2004-12-31,2004-01-01,343,9,85001,0.87980,
707154,2004-12-31,2004-01-01,343,9,81794,0.94330,
707153,2004-12-31,2004-01-01,343,9,81736,0.72110,
707152,2004-12-31,2004-01-01,343,9,81591,0.87250,
707151,2004-12-31,2004-01-01,343,9,81300,0.84540,
707150,2004-12-31,2004-01-01,343,9,81220,0.41630,
707149,2004-12-31,2004-01-01,343,9,81065,0.76410,
707148,2004-12-31,2004-01-01,343,9,81001,0.87180,
707147,2004-12-31,2004-01-01,343,9,76895,0.72450,
707146,2004-12-31,2004-01-01,343,9,76892,0.83990,
707145,2004-12-31,2004-01-01,343,9,76890,0.57600,
707144,2004-12-31,2004-01-01,343,9,76869,0.88080,
707143,2004-12-31,2004-01-01,343,9,76863,0.45750,
707142,2004-12-31,2004-01-01,343,9,76845,0.40080,
707141,2004-12-31,2004-01-01,343,9,76834,0.39750,
707140,2004-12-31,2004-01-01,343,9,76828,0.93830,
707139,2004-12-31,2004-01-01,343,9,76823,0.85330,
707138,2004-12-31,2004-01-01,343,9,76736,0.66790,
707137,2004-12-31,2004-01-01,343,9,76670,0.77960,
707136,2004-12-31,2004-01-01,343,9,76622,0.72760,
707135,2004-12-31,2004-01-01,343,9,76616,0.93460,
707134,2004-12-31,2004-01-01,343,9,76606,0.45890,
707133,2004-12-31,2004-01-01,343,9,76563,0.37670,
707132,2004-12-31,2004-01-01,343,9,76520,0.51890,
707131,2004-12-31,2004-01-01,343,9,76497,0.65420,
707130,2004-12-31,2004-01-01,343,9,76403,0.77920,
707129,2004-12-31,2004-01-01,343,9,76400,0.72690,
707128,2004-12-31,2004-01-01,343,9,76377,0.59770,
707127,2004-12-31,2004-01-01,343,9,76364,0.36750,
707126,2004-12-31,2004-01-01,343,9,76318,0.32340,
707125,2004-12-31,2004-01-01,343,9,76306,0.67720,
707124,2004-12-31,2004-01-01,343,9,76275,0.38430,
707123,2004-12-31,2004-01-01,343,9,76250,0.38520,
707122,2004-12-31,2004-01-01,343,9,76248,0.31950,
707121,2004-12-31,2004-01-01,343,9,76246,0.38890,
707120,2004-12-31,2004-01-01,343,9,76243,0.30510,
707119,2004-12-31,2004-01-01,343,9,76233,0.52600,
707118,2004-12-31,2004-01-01,343,9,76147,0.31810,
707117,2004-12-31,2004-01-01,343,9,76130,0.32980,
707116,2004-12-31,2004-01-01,343,9,76126,0.21590,
707115,2004-12-31,2004-01-01,343,9,76122,0.49280,
707114,2004-12-31,2004-01-01,343,9,76113,0.38540,
707113,2004-12-31,2004-01-01,343,9,76111,0.30880,
707112,2004-12-31,2004-01-01,343,9,76109,0.50900,
707111,2004-12-31,2004-01-01,343,9,76100,0.28180,
707110,2004-12-31,2004-01-01,343,9,76054,0.20140,
707109,2004-12-31,2004-01-01,343,9,76041,0.61570,
707108,2004-12-31,2004-01-01,343,9,76036,0.32210,
707107,2004-12-31,2004-01-01,343,9,76020,0.68030,
707106,2004-12-31,2004-01-01,343,9,73873,0.67770,
707105,2004-12-31,2004-01-01,343,9,73870,0.53920,
707104,2004-12-31,2004-01-01,343,9,73861,0.84350,
707103,2004-12-31,2004-01-01,343,9,73854,0.29980,
707102,2004-12-31,2004-01-01,343,9,73770,0.92880,
707101,2004-12-31,2004-01-01,343,9,73686,0.40940,
707100,2004-12-31,2004-01-01,343,9,73678,0.41140,
707099,2004-12-31,2004-01-01,343,9,73675,0.35410,
707098,2004-12-31,2004-01-01,343,9,73671,0.80410,
707097,2004-12-31,2004-01-01,343,9,73624,0.23350,
707096,2004-12-31,2004-01-01,343,9,73622,0.75170,
707095,2004-12-31,2004-01-01,343,9,73616,0.37450,
707094,2004-12-31,2004-01-01,343,9,73585,0.24830,
707093,2004-12-31,2004-01-01,343,9,73563,0.26540,
707092,2004-12-31,2004-01-01,343,9,73555,0.28680,
707091,2004-12-31,2004-01-01,343,9,73547,0.42990,
707090,2004-12-31,2004-01-01,343,9,73520,0.25610,
707089,2004-12-31,2004-01-01,343,9,73504,0.72730,
707088,2004-12-31,2004-01-01,343,9,73483,0.48990,
707087,2004-12-31,2004-01-01,343,9,73461,0.19560,
707086,2004-12-31,2004-01-01,343,9,73449,0.66910,
707085,2004-12-31,2004-01-01,343,9,73443,0.19880,
707084,2004-12-31,2004-01-01,343,9,73411,0.76990,
707083,2004-12-31,2004-01-01,343,9,73408,0.33610,
707082,2004-12-31,2004-01-01,343,9,73352,0.43310,
707081,2004-12-31,2004-01-01,343,9,73349,0.90080,
707080,2004-12-31,2004-01-01,343,9,73347,0.37790,
707079,2004-12-31,2004-01-01,343,9,73319,0.24190,
707078,2004-12-31,2004-01-01,343,9,73283,0.54260,
707077,2004-12-31,2004-01-01,343,9,73275,0.06960,
707076,2004-12-31,2004-01-01,343,9,73270,0.66820,
707075,2004-12-31,2004-01-01,343,9,73268,0.37160,
707074,2004-12-31,2004-01-01,343,9,73236,0.07670,
707073,2004-12-31,2004-01-01,343,9,73226,0.22790,
707072,2004-12-31,2004-01-01,343,9,73217,0.11850,
707071,2004-12-31,2004-01-01,343,9,73200,0.00310,
707070,2004-12-31,2004-01-01,343,9,73168,0.27970,
707069,2004-12-31,2004-01-01,343,9,73152,0.00000,
707068,2004-12-31,2004-01-01,343,9,73148,0.36660,
707067,2004-12-31,2004-01-01,343,9,73124,0.02390,
707066,2004-12-31,2004-01-01,343,9,73067,0.03880,
707065,2004-12-31,2004-01-01,343,9,73055,0.31250,
707064,2004-12-31,2004-01-01,343,9,73043,0.30620,
707063,2004-12-31,2004-01-01,343,9,73030,0.02120,
707062,2004-12-31,2004-01-01,343,9,73026,0.43660,
707061,2004-12-31,2004-01-01,343,9,73024,0.00000,
707060,2004-12-31,2004-01-01,343,9,73001,0.00200,
707059,2004-12-31,2004-01-01,343,9,70823,0.00410,
707058,2004-12-31,2004-01-01,343,9,70820,0.70360,
707057,2004-12-31,2004-01-01,343,9,70771,0.00160,
707056,2004-12-31,2004-01-01,343,9,70742,0.01190,
707055,2004-12-31,2004-01-01,343,9,70717,0.58990,
707054,2004-12-31,2004-01-01,343,9,70713,0.72420,
707053,2004-12-31,2004-01-01,343,9,70708,0.60450,
707052,2004-12-31,2004-01-01,343,9,70702,0.66690,
707051,2004-12-31,2004-01-01,343,9,70678,0.47450,
707050,2004-12-31,2004-01-01,343,9,70670,0.35620,
707049,2004-12-31,2004-01-01,343,9,70523,0.44400,
707048,2004-12-31,2004-01-01,343,9,70508,0.33340,
707047,2004-12-31,2004-01-01,343,9,70473,0.33290,
707046,2004-12-31,2004-01-01,343,9,70429,0.20060,
707045,2004-12-31,2004-01-01,343,9,70418,0.09890,
707044,2004-12-31,2004-01-01,343,9,70400,0.31240,
707043,2004-12-31,2004-01-01,343,9,70265,0.80970,
707042,2004-12-31,2004-01-01,343,9,70235,0.21560,
707041,2004-12-31,2004-01-01,343,9,70233,0.23340,
707040,2004-12-31,2004-01-01,343,9,70230,0.09720,
707039,2004-12-31,2004-01-01,343,9,70221,0.43600,
707038,2004-12-31,2004-01-01,343,9,70215,0.13920,
707037,2004-12-31,2004-01-01,343,9,70204,0.15860,
707036,2004-12-31,2004-01-01,343,9,70124,0.24700,
707035,2004-12-31,2004-01-01,343,9,70110,0.71680,
707034,2004-12-31,2004-01-01,343,9,70001,0.08200,
707033,2004-12-31,2004-01-01,343,9,68895,0.24280,
707032,2004-12-31,2004-01-01,343,9,68872,0.53820,
707031,2004-12-31,2004-01-01,343,9,68867,0.28460,
707030,2004-12-31,2004-01-01,343,9,68861,0.47510,
707029,2004-12-31,2004-01-01,343,9,68855,0.46340,
707028,2004-12-31,2004-01-01,343,9,68820,0.33410,
707027,2004-12-31,2004-01-01,343,9,68780,0.32860,
707025,2004-12-31,2004-01-01,343,9,68770,0.33190,
709475,2004-12-31,2004-01-01,343,9,,0.30450,99
709474,2004-12-31,2004-01-01,343,9,,0.73400,97
709473,2004-12-31,2004-01-01,343,9,,0.42500,95
709472,2004-12-31,2004-01-01,343,9,,0.89260,94
709471,2004-12-31,2004-01-01,343,9,,0.90130,91
709470,2004-12-31,2004-01-01,343,9,,0.97930,88
709469,2004-12-31,2004-01-01,343,9,,0.40020,86
709468,2004-12-31,2004-01-01,343,9,,0.66540,85
709467,2004-12-31,2004-01-01,343,9,,0.54680,81
709466,2004-12-31,2004-01-01,343,9,,0.77830,76
709465,2004-12-31,2004-01-01,343,9,,0.59770,73
709464,2004-12-31,2004-01-01,343,9,,0.37790,70
709463,2004-12-31,2004-01-01,343,9,,0.60450,68
709462,2004-12-31,2004-01-01,343,9,,0.78370,66
709461,2004-12-31,2004-01-01,343,9,,0.90190,63
709460,2004-12-31,2004-01-01,343,9,,0.72200,54
709459,2004-12-31,2004-01-01,343,9,,0.36510,52
709458,2004-12-31,2004-01-01,343,9,,0.72970,50
709457,2004-12-31,2004-01-01,343,9,,0.44130,47
709456,2004-12-31,2004-01-01,343,9,,0.60420,44
709455,2004-12-31,2004-01-01,343,9,,0.56530,41
709454,2004-12-31,2004-01-01,343,9,,0.25050,27
709453,2004-12-31,2004-01-01,343,9,,0.63200,25
709452,2004-12-31,2004-01-01,343,9,,0.31450,23
709451,2004-12-31,2004-01-01,343,9,,0.60480,20
709450,2004-12-31,2004-01-01,343,9,,0.34510,19
709449,2004-12-31,2004-01-01,343,9,,0.49470,18
709448,2004-12-31,2004-01-01,343,9,,0.67650,17
709447,2004-12-31,2004-01-01,343,9,,0.42710,15
709446,2004-12-31,2004-01-01,343,9,,0.38320,13
709445,2004-12-31,2004-01-01,343,9,,0.43800,08
709444,2004-12-31,2004-01-01,343,9,,0.63830,05
709443,2004-12-31,2004-01-01,343,9,,0.55700,00
706173,2004-12-31,2004-01-01,343,9,05364,0.53570,
706171,2004-12-31,2004-01-01,343,9,05360,0.98700,
706170,2004-12-31,2004-01-01,343,9,05353,0.63690,
706169,2004-12-31,2004-01-01,343,9,05347,0.36810,
706168,2004-12-31,2004-01-01,343,9,05321,0.80870,
706167,2004-12-31,2004-01-01,343,9,05318,0.37960,
706166,2004-12-31,2004-01-01,343,9,05315,0.27200,
706165,2004-12-31,2004-01-01,343,9,05313,0.99440,
706164,2004-12-31,2004-01-01,343,9,05310,0.54440,
706163,2004-12-31,2004-01-01,343,9,05308,0.78720,
706162,2004-12-31,2004-01-01,343,9,05306,0.34670,
706161,2004-12-31,2004-01-01,343,9,05284,0.48140,
706160,2004-12-31,2004-01-01,343,9,05282,0.39130,
706159,2004-12-31,2004-01-01,343,9,05266,0.99820,
706158,2004-12-31,2004-01-01,343,9,05264,0.40910,
706157,2004-12-31,2004-01-01,343,9,05250,0.36270,
706156,2004-12-31,2004-01-01,343,9,05240,0.22770,
706155,2004-12-31,2004-01-01,343,9,05237,0.69050,
706154,2004-12-31,2004-01-01,343,9,05234,0.42730,
706153,2004-12-31,2004-01-01,343,9,05212,0.91660,
706152,2004-12-31,2004-01-01,343,9,05209,0.41960,
706151,2004-12-31,2004-01-01,343,9,05206,0.34030,
706150,2004-12-31,2004-01-01,343,9,05197,0.43460,
706149,2004-12-31,2004-01-01,343,9,05190,0.77550,
706148,2004-12-31,2004-01-01,343,9,05172,0.88690,
706147,2004-12-31,2004-01-01,343,9,05154,0.78890,
706146,2004-12-31,2004-01-01,343,9,05150,0.83770,
706145,2004-12-31,2004-01-01,343,9,05148,0.58270,
706144,2004-12-31,2004-01-01,343,9,05147,0.80860,
706143,2004-12-31,2004-01-01,343,9,05145,0.42220,
706142,2004-12-31,2004-01-01,343,9,05142,0.50710,
706141,2004-12-31,2004-01-01,343,9,05138,0.24280,
706140,2004-12-31,2004-01-01,343,9,05134,0.13680,
706139,2004-12-31,2004-01-01,343,9,05129,0.96280,
706138,2004-12-31,2004-01-01,343,9,05125,0.17660,
706137,2004-12-31,2004-01-01,343,9,05120,0.54700,
706136,2004-12-31,2004-01-01,343,9,05113,0.21030,
706135,2004-12-31,2004-01-01,343,9,05107,0.25090,
706134,2004-12-31,2004-01-01,343,9,05101,0.63090,
706133,2004-12-31,2004-01-01,343,9,05093,0.35280,
706132,2004-12-31,2004-01-01,343,9,05091,0.39160,
706131,2004-12-31,2004-01-01,343,9,05088,0.97280,
706130,2004-12-31,2004-01-01,343,9,05086,0.33780,
706129,2004-12-31,2004-01-01,343,9,05079,0.68230,
706128,2004-12-31,2004-01-01,343,9,05059,0.50190,
706127,2004-12-31,2004-01-01,343,9,05055,0.29260,
706126,2004-12-31,2004-01-01,343,9,05051,0.28360,
706125,2004-12-31,2004-01-01,343,9,05045,0.93530,
706124,2004-12-31,2004-01-01,343,9,05044,0.24610,
706123,2004-12-31,2004-01-01,343,9,05042,0.55760,
706122,2004-12-31,2004-01-01,343,9,05040,0.32550,
706121,2004-12-31,2004-01-01,343,9,05038,0.16570,
706120,2004-12-31,2004-01-01,343,9,05036,0.64530,
