ID_VALDA,FIN_VALDA,INI_VALDA,ID_DATO,ID_UNIDAD,ID_MUN,VAL_VALDA,ID_DEPTO
1038552,2007-12-31,2007-01-01,337,4,,91.60000,00
1038551,2007-12-31,2007-01-01,337,4,,57.60000,99
1038550,2007-12-31,2007-01-01,337,4,,97.90000,97
1038549,2007-12-31,2007-01-01,337,4,,47.30000,95
1038548,2007-12-31,2007-01-01,337,4,,90.80000,94
1038547,2007-12-31,2007-01-01,337,4,,91.40000,91
1038546,2007-12-31,2007-01-01,337,4,,99.50000,88
1038545,2007-12-31,2007-01-01,337,4,,55.50000,86
1038544,2007-12-31,2007-01-01,337,4,,77.90000,85
1038543,2007-12-31,2007-01-01,337,4,,76.40000,81
1038542,2007-12-31,2007-01-01,337,4,,99.00000,08
1038541,2007-12-31,2007-01-01,337,4,,98.00000,76
1038540,2007-12-31,2007-01-01,337,4,,87.60000,73
1038539,2007-12-31,2007-01-01,337,4,,91.90000,70
1038538,2007-12-31,2007-01-01,337,4,,94.40000,68
1038537,2007-12-31,2007-01-01,337,4,,98.50000,66
1038536,2007-12-31,2007-01-01,337,4,,98.70000,63
1038535,2007-12-31,2007-01-01,337,4,,91.40000,54
1038534,2007-12-31,2007-01-01,337,4,,80.80000,52
1038533,2007-12-31,2007-01-01,337,4,,83.70000,50
1038532,2007-12-31,2007-01-01,337,4,,92.40000,05
1038531,2007-12-31,2007-01-01,337,4,,89.60000,47
1038530,2007-12-31,2007-01-01,337,4,,90.90000,44
1038529,2007-12-31,2007-01-01,337,4,,88.90000,41
1038528,2007-12-31,2007-01-01,337,4,,69.40000,27
1038527,2007-12-31,2007-01-01,337,4,,95.50000,25
1038526,2007-12-31,2007-01-01,337,4,,87.30000,23
1038525,2007-12-31,2007-01-01,337,4,,90.20000,20
1038524,2007-12-31,2007-01-01,337,4,,76.30000,19
1038523,2007-12-31,2007-01-01,337,4,,56.60000,18
1038522,2007-12-31,2007-01-01,337,4,,97.30000,17
1038521,2007-12-31,2007-01-01,337,4,,90.20000,15
1038520,2007-12-31,2007-01-01,337,4,,90.70000,13
1038519,2007-12-31,2007-01-01,337,4,,99.90000,11
974865,2007-12-31,2007-01-01,337,4,00000,91.59000,
974864,2007-12-31,2007-01-01,337,4,99773,28.51000,
974863,2007-12-31,2007-01-01,337,4,99624,60.34000,
974862,2007-12-31,2007-01-01,337,4,99524,58.97000,
974861,2007-12-31,2007-01-01,337,4,99001,85.57000,
974860,2007-12-31,2007-01-01,337,4,97666,90.00000,
974859,2007-12-31,2007-01-01,337,4,97161,80.56000,
974858,2007-12-31,2007-01-01,337,4,97001,99.35000,
974857,2007-12-31,2007-01-01,337,4,95025,26.83000,
974856,2007-12-31,2007-01-01,337,4,95200,32.44000,
974855,2007-12-31,2007-01-01,337,4,95015,42.22000,
974854,2007-12-31,2007-01-01,337,4,95001,56.64000,
974853,2007-12-31,2007-01-01,337,4,94001,90.78000,
974852,2007-12-31,2007-01-01,337,4,91001,91.35000,
974851,2007-12-31,2007-01-01,337,4,88564,98.47000,
974850,2007-12-31,2007-01-01,337,4,88001,99.64000,
974849,2007-12-31,2007-01-01,337,4,86885,67.02000,
974848,2007-12-31,2007-01-01,337,4,86865,46.44000,
974847,2007-12-31,2007-01-01,337,4,86760,86.14000,
974846,2007-12-31,2007-01-01,337,4,86757,34.59000,
974845,2007-12-31,2007-01-01,337,4,86755,92.12000,
974844,2007-12-31,2007-01-01,337,4,86749,94.39000,
