ID_VALDA,FIN_VALDA,INI_VALDA,ID_DATO,ID_UNIDAD,ID_MUN,VAL_VALDA,ID_DEPTO
944690,2007-12-31,2007-01-01,545,9,54313,0.17810,
944689,2007-12-31,2007-01-01,545,9,54003,0.05490,
944688,2007-12-31,2007-01-01,545,9,54261,0.06640,
944687,2007-12-31,2007-01-01,545,9,54250,0.03150,
944686,2007-12-31,2007-01-01,545,9,54245,0.07640,
944685,2007-12-31,2007-01-01,545,9,54239,0.14110,
944684,2007-12-31,2007-01-01,545,9,54223,0.05930,
944683,2007-12-31,2007-01-01,545,9,54206,0.07940,
944682,2007-12-31,2007-01-01,545,9,54174,0.14780,
944681,2007-12-31,2007-01-01,545,9,54172,0.27620,
944680,2007-12-31,2007-01-01,545,9,54128,0.06480,
944679,2007-12-31,2007-01-01,545,9,54125,0.08000,
944678,2007-12-31,2007-01-01,545,9,54109,0.03210,
944677,2007-12-31,2007-01-01,545,9,54001,0.34980,
944676,2007-12-31,2007-01-01,545,9,52885,0.00660,
944675,2007-12-31,2007-01-01,545,9,52838,0.10680,
944674,2007-12-31,2007-01-01,545,9,52835,0.07640,
945022,2007-12-31,2007-01-01,545,9,00000,0.35540,
945021,2007-12-31,2007-01-01,545,9,99773,0.00170,
945020,2007-12-31,2007-01-01,545,9,99624,0.05680,
945019,2007-12-31,2007-01-01,545,9,99524,0.00080,
945018,2007-12-31,2007-01-01,545,9,99001,0.10300,
945017,2007-12-31,2007-01-01,545,9,97666,0.00560,
945016,2007-12-31,2007-01-01,545,9,97161,0.00000,
945015,2007-12-31,2007-01-01,545,9,97001,0.24270,
945014,2007-12-31,2007-01-01,545,9,95025,0.00080,
945013,2007-12-31,2007-01-01,545,9,95200,0.00010,
945012,2007-12-31,2007-01-01,545,9,95015,0.01650,
945011,2007-12-31,2007-01-01,545,9,95001,0.03970,
945010,2007-12-31,2007-01-01,545,9,94001,0.18600,
945009,2007-12-31,2007-01-01,545,9,91001,0.27180,
945008,2007-12-31,2007-01-01,545,9,88564,0.51910,
945007,2007-12-31,2007-01-01,545,9,88001,0.42090,
945006,2007-12-31,2007-01-01,545,9,86885,0.10540,
945005,2007-12-31,2007-01-01,545,9,86865,0.07050,
945004,2007-12-31,2007-01-01,545,9,86760,0.12800,
945003,2007-12-31,2007-01-01,545,9,86757,0.03410,
945002,2007-12-31,2007-01-01,545,9,86755,0.12130,
945001,2007-12-31,2007-01-01,545,9,86749,0.16370,
