ID_VALDA,FIN_VALDA,INI_VALDA,ID_DATO,ID_UNIDAD,ID_MUN,VAL_VALDA,ID_DEPTO
895300,2006-12-31,2006-01-01,540,7,99773,1.00000,
895299,2006-12-31,2006-01-01,540,7,99524,0.00000,
895298,2006-12-31,2006-01-01,540,7,97161,0.00000,
895297,2006-12-31,2006-01-01,540,7,97001,0.00000,
895296,2006-12-31,2006-01-01,540,7,95200,0.00000,
895295,2006-12-31,2006-01-01,540,7,95001,3.00000,
895294,2006-12-31,2006-01-01,540,7,94887,0.00000,
895293,2006-12-31,2006-01-01,540,7,88564,0.00000,
895292,2006-12-31,2006-01-01,540,7,86885,1.00000,
895291,2006-12-31,2006-01-01,540,7,86757,0.00000,
895290,2006-12-31,2006-01-01,540,7,86755,1.00000,
895289,2006-12-31,2006-01-01,540,7,86749,0.00000,
895288,2006-12-31,2006-01-01,540,7,86573,0.00000,
895287,2006-12-31,2006-01-01,540,7,86571,0.00000,
895286,2006-12-31,2006-01-01,540,7,86568,3.00000,
895285,2006-12-31,2006-01-01,540,7,86320,0.00000,
895284,2006-12-31,2006-01-01,540,7,85440,0.00000,
895283,2006-12-31,2006-01-01,540,7,85430,0.00000,
895282,2006-12-31,2006-01-01,540,7,85315,0.00000,
895281,2006-12-31,2006-01-01,540,7,85300,0.00000,
895280,2006-12-31,2006-01-01,540,7,85279,0.00000,
895279,2006-12-31,2006-01-01,540,7,85263,0.00000,
895278,2006-12-31,2006-01-01,540,7,85250,5.00000,
895277,2006-12-31,2006-01-01,540,7,85225,0.00000,
895276,2006-12-31,2006-01-01,540,7,85162,1.00000,
895275,2006-12-31,2006-01-01,540,7,85139,0.00000,
895274,2006-12-31,2006-01-01,540,7,85125,0.00000,
895273,2006-12-31,2006-01-01,540,7,85001,5.00000,
895272,2006-12-31,2006-01-01,540,7,81794,4.00000,
895271,2006-12-31,2006-01-01,540,7,81736,0.00000,
895270,2006-12-31,2006-01-01,540,7,81300,0.00000,
895269,2006-12-31,2006-01-01,540,7,81065,1.00000,
895268,2006-12-31,2006-01-01,540,7,76895,5.00000,
895267,2006-12-31,2006-01-01,540,7,76892,0.00000,
895266,2006-12-31,2006-01-01,540,7,76890,0.00000,
895265,2006-12-31,2006-01-01,540,7,76869,0.00000,
895264,2006-12-31,2006-01-01,540,7,76863,0.00000,
895263,2006-12-31,2006-01-01,540,7,76834,0.00000,
895262,2006-12-31,2006-01-01,540,7,76828,0.00000,
895261,2006-12-31,2006-01-01,540,7,76736,0.00000,
895260,2006-12-31,2006-01-01,540,7,76670,0.00000,
895259,2006-12-31,2006-01-01,540,7,76622,0.00000,
895258,2006-12-31,2006-01-01,540,7,76616,0.00000,
895257,2006-12-31,2006-01-01,540,7,76606,0.00000,
895256,2006-12-31,2006-01-01,540,7,76563,0.00000,
895255,2006-12-31,2006-01-01,540,7,76520,1.00000,
895254,2006-12-31,2006-01-01,540,7,76400,0.00000,
895253,2006-12-31,2006-01-01,540,7,76377,0.00000,
895252,2006-12-31,2006-01-01,540,7,76364,0.00000,
895251,2006-12-31,2006-01-01,540,7,76318,0.00000,
895250,2006-12-31,2006-01-01,540,7,76306,0.00000,
895249,2006-12-31,2006-01-01,540,7,76275,0.00000,
895248,2006-12-31,2006-01-01,540,7,76250,0.00000,
895247,2006-12-31,2006-01-01,540,7,76248,2.00000,
895246,2006-12-31,2006-01-01,540,7,76246,0.00000,
895245,2006-12-31,2006-01-01,540,7,76243,0.00000,
895244,2006-12-31,2006-01-01,540,7,76233,0.00000,
895243,2006-12-31,2006-01-01,540,7,76147,0.00000,
895242,2006-12-31,2006-01-01,540,7,76130,0.00000,
895241,2006-12-31,2006-01-01,540,7,76126,2.00000,
895240,2006-12-31,2006-01-01,540,7,76122,0.00000,
895239,2006-12-31,2006-01-01,540,7,76111,0.00000,
895238,2006-12-31,2006-01-01,540,7,76109,6.00000,
895237,2006-12-31,2006-01-01,540,7,76036,0.00000,
895236,2006-12-31,2006-01-01,540,7,76020,1.00000,
895235,2006-12-31,2006-01-01,540,7,73873,2.00000,
895234,2006-12-31,2006-01-01,540,7,73870,0.00000,
895233,2006-12-31,2006-01-01,540,7,73861,0.00000,
895232,2006-12-31,2006-01-01,540,7,73770,2.00000,
895231,2006-12-31,2006-01-01,540,7,73686,0.00000,
895230,2006-12-31,2006-01-01,540,7,73675,0.00000,
895229,2006-12-31,2006-01-01,540,7,73671,0.00000,
895228,2006-12-31,2006-01-01,540,7,73624,0.00000,
895227,2006-12-31,2006-01-01,540,7,73616,0.00000,
895226,2006-12-31,2006-01-01,540,7,73585,0.00000,
895225,2006-12-31,2006-01-01,540,7,73563,0.00000,
895224,2006-12-31,2006-01-01,540,7,73555,3.00000,
